Student ID,Grade,GPA
S03530,B,3.41
S08684,C,2.97
S01156,A+,3.77
S06548,C,2.91
S09089,C,2.98
S07621,C,2.43
S08297,C,2.17
S04541,B,3.21
S09135,C,2
S06483,B,3.27
S05827,B,3.49
S01191,A+,3.73
S07445,C,2.23
S08521,C,2.76
S00961,A+,3.87
S07455,C,2.24
S00037,A+,3.59
S07517,C,2.78
S07645,C,2.78
S04439,B,3.43
S06162,B,3.38
S07745,C,2.42
S09588,D,1.76
S08120,C,2.67
S06968,C,2.68
S05719,B,3.26
S00578,A+,3.93
S09834,D,1.79
S04103,B,3.2
S07647,C,2.23
S04152,B,3.15
S03131,A,3.55
S04891,B,3.28
S09976,D,1.33
S07472,C,2.2
S01834,A,3.52
S09149,C,2.72
S04892,B,3.34
S02288,A,3.54
S01331,A+,3.61
S02772,A,3.52
S03687,B,3.11
S08284,C,2.5
S05929,B,3.09
S00638,A+,3.8
S00048,A+,3.73
S02603,A,3.55
S01966,A,3.56
S02169,A,3.52
S05050,B,3.44
S03335,A,3.53
S03020,A,3.56
S08765,C,2.43
S09177,C,2.65
S01361,A+,3.99
S05799,B,3.28
S09401,C,2.27
S03252,A,3.52
S06301,B,3.13
S02252,A,3.52
S06028,B,3.12
S01176,A+,3.89
S08800,C,2.43
S03280,A,3.56
S02974,A,3.56
S03397,A,3.54
S06940,C,2.99
S00966,A+,3.82
S08575,C,2.64
S00743,A+,3.9
S07515,C,2.83
S03315,A,3.52
S04899,B,3.36
S09341,C,2.73
S04673,B,3.29
S08619,C,2.38
S01218,A+,3.84
S04398,B,3.14
S06081,B,3.38
S02615,A,3.56
S02621,A,3.52
S08715,C,2.05
S07283,C,2.94
S03380,A,3.51
S07302,C,2.64
S09858,D,1.6
S05606,B,3.24
S09814,D,1.46
S05787,B,3.42
S08519,C,2.91
S06851,C,2.62
S01517,A,3.52
S05099,B,3.05
S07637,C,2.69
S09086,C,2.65
S08024,C,2.84
S02393,A,3.56
S00587,A+,3.9
S03520,B,3.36
S07654,C,2.98
S08947,C,2.24
S00851,A+,3.72
S00336,A+,3.76
S06635,C,2.87
S08973,C,2.55
S07494,C,2.91
S02869,A,3.52
S04873,B,3.11
S03551,B,3.18
S03843,B,3.46
S07263,C,2.12
S05825,B,3.3
S00024,A+,3.92
S01454,A+,3.65
S01685,A,3.55
S02311,A,3.57
S09064,C,2.35
S09407,C,2.95
S00382,A+,3.62
S05815,B,3.27
S05551,B,3.26
S09309,C,2.31
S01619,A,3.52
S00790,A+,3.97
S05984,B,3.31
S08673,C,2.32
S04476,B,3.06
S05607,B,3.04
S09313,C,2.13
S05649,B,3.26
S06217,B,3.22
S02287,A,3.52
S09994,D,1.89
S07579,C,2.79
S01184,A+,3.92
S06002,B,3.32
S05091,B,3.1
S02517,A,3.54
S04123,B,3.04
S05522,B,3.11
S05628,B,3.29
S08361,C,2.3
S05873,B,3.33
S08613,C,2.49
S07728,C,2.92
S05969,B,3.36
S01181,A+,3.71
S08763,C,2.1
S08236,C,2.89
S02819,A,3.52
S09965,D,1.62
S08704,C,2.4
S06609,C,2.62
S02821,A,3.56
S07536,C,2.25
S02261,A,3.57
S02240,A,3.51
S06022,B,3.03
S00783,A+,3.71
S00933,A+,3.75
S06203,B,3.28
S02413,A,3.51
S06998,C,2.55
S09116,C,2.64
S01157,A+,3.69
S08108,C,2.36
S05806,B,3.31
S04880,B,3.03
S03310,A,3.56
S08962,C,2.11
S01703,A,3.57
S02493,A,3.54
S03707,B,3.23
S08277,C,2.34
S00287,A+,3.79
S01609,A,3.57
S06632,C,2.81
S08279,C,2.44
S07316,C,2.6
S02253,A,3.56
S07416,C,2.05
S08366,C,2.16
S01892,A,3.55
S05063,B,3.46
S06121,B,3.35
S00564,A+,3.59
S00292,A+,3.82
S04717,B,3.21
S07709,C,2.02
S06350,B,3.08
S00170,A+,3.88
S00268,A+,3.57
S04639,B,3.08
S07078,C,2.04
S03356,A,3.53
S08280,C,2.56
S00316,A+,3.99
S06729,C,2.45
S09496,C,2.07
S04068,B,3.44
S00246,A+,3.72
S00253,A+,3.95
S01112,A+,3.91
S04802,B,3.48
S01714,A,3.55
S00051,A+,3.78
S01836,A,3.52
S07897,C,2.96
S03384,A,3.57
S06411,B,3.02
S04314,B,3.48
S00873,A+,3.59
S01255,A+,3.68
S08882,C,2.31
S05852,B,3.34
S05703,B,3.09
S08104,C,2.46
S02099,A,3.53
S05129,B,3.33
S00249,A+,3.79
S06562,C,2.52
S01340,A+,3.75
S07018,C,2.79
S02111,A,3.5
S01570,A,3.56
S01727,A,3.53
S08385,C,2.07
S06941,C,2.59
S04396,B,3.12
S02421,A,3.5
S03046,A,3.53
S05504,B,3.11
S03704,B,3.49
S08192,C,2.99
S05332,B,3.41
S09809,D,1.48
S00448,A+,3.99
S07895,C,2.12
S08729,C,2.55
S07829,C,2.33
S01769,A,3.55
S06809,C,2.47
S04705,B,3.31
S03870,B,3.17
S01656,A,3.56
S03188,A,3.53
S00684,A+,3.93
S04171,B,3.18
S04478,B,3.21
S00462,A+,3.72
S05765,B,3.03
S07523,C,2.59
S04503,B,3.04
S09710,D,1.97
S00319,A+,3.84
S01146,A+,3.62
S05095,B,3.17
S01394,A+,3.87
S06624,C,2.63
S01502,A,3.53
S06409,B,3.33
S00377,A+,3.58
S00411,A+,4
S01661,A,3.56
S03152,A,3.55
S01624,A,3.5
S05610,B,3
S08533,C,2.56
S05803,B,3.04
S05307,B,3.26
S07087,C,2.04
S08898,C,2.09
S07489,C,2.91
S09616,D,1.7
S09218,C,2.55
S01673,A,3.51
S02359,A,3.54
S08468,C,2.97
S00275,A+,3.74
S02474,A,3.52
S05490,B,3.01
S04772,B,3.46
S02108,A,3.57
S07501,C,2.13
S04415,B,3.02
S08139,C,2.26
S08661,C,2.08
S08240,C,2.9
S02418,A,3.53
S08772,C,2.45
S02237,A,3.54
S03768,B,3.35
S09792,D,1.37
S09990,D,1.21
S09966,D,1.39
S07324,C,2.08
S01384,A+,3.99
S03102,A,3.51
S03922,B,3.31
S06686,C,2.45
S03195,A,3.53
S01942,A,3.56
S07714,C,2.94
S04897,B,3.11
S04783,B,3.46
S01497,A+,3.72
S01958,A,3.5
S09172,C,2.69
S09746,D,1.44
S07333,C,2.82
S07950,C,2.6
S03018,A,3.55
S06747,C,2.72
S00514,A+,3.8
S03935,B,3.33
S03026,A,3.55
S01200,A+,3.98
S05029,B,3.38
S09785,D,1.91
S00922,A+,3.81
S04650,B,3.07
S05333,B,3.46
S01077,A+,3.9
S06769,C,2.76
S09411,C,2.6
S01672,A,3.51
S00475,A+,3.87
S09187,C,2.92
S08840,C,2.24
S05759,B,3.48
S06298,B,3.15
S02479,A,3.56
S05494,B,3.5
S03915,B,3.4
S02139,A,3.56
S05455,B,3.19
S05380,B,3.19
S08986,C,2.26
S04024,B,3.39
S03486,A,3.51
S02456,A,3.51
S02465,A,3.5
S08697,C,2.34
S01370,A+,3.68
S06689,C,2.48
S07457,C,2.7
S09975,D,1.51
S01902,A,3.56
S04872,B,3.29
S04711,B,3.32
S07887,C,2.44
S01794,A,3.57
S02875,A,3.52
S06218,B,3.34
S05214,B,3.34
S02246,A,3.53
S01742,A,3.56
S01021,A+,3.92
S00706,A+,3.84
S04295,B,3.17
S05577,B,3.47
S07167,C,2.26
S08178,C,2.77
S00909,A+,3.86
S05194,B,3.41
S03078,A,3.55
S09367,C,2.89
S00595,A+,3.82
S05305,B,3.41
S00441,A+,3.8
S07607,C,2.96
S04093,B,3.2
S06135,B,3.12
S00011,A+,3.68
S03777,B,3.37
S09000,C,2.2
S03709,B,3.04
S03781,B,3.26
S00094,A+,3.61
S09240,C,2.01
S03950,B,3.3
S05786,B,3.1
S04871,B,3.24
S04803,B,3.37
S04868,B,3.22
S00293,A+,3.63
S07889,C,2.22
S07406,C,2.81
S05596,B,3.2
S02887,A,3.51
S06455,B,3.12
S02543,A,3.56
S01766,A,3.53
S06801,C,2.66
S01878,A,3.51
S01982,A,3.51
S09730,D,1.32
S09609,D,1.48
S02686,A,3.54
S08931,C,2.78
S03459,A,3.52
S04542,B,3.04
S02179,A,3.52
S04451,B,3.37
S03860,B,3.22
S07624,C,2.44
S07655,C,2.9
S04520,B,3.47
S02518,A,3.52
S04837,B,3.44
S02886,A,3.54
S07282,C,2.86
S06256,B,3.39
S04540,B,3.2
S05640,B,3.23
S09460,C,2.22
S03482,A,3.55
S01278,A+,4
S03147,A,3.51
S08263,C,2.33
S03206,A,3.54
S09893,D,1.89
S02743,A,3.54
S06077,B,3.47
S04048,B,3.49
S05732,B,3.06
S02946,A,3.52
S05791,B,3.3
S06795,C,2.53
S06544,C,2.26
S00701,A+,3.6
S03575,B,3.39
S07700,C,2.06
S02516,A,3.52
S03001,A,3.52
S05821,B,3.12
S08582,C,2.7
S03685,B,3.46
S02996,A,3.54
S04253,B,3.27
S03412,A,3.55
S07963,C,2.21
S06310,B,3.49
S08612,C,2.31
S05013,B,3.34
S07751,C,2.04
S05980,B,3.49
S04049,B,3.5
S04900,B,3.04
S01319,A+,3.98
S09773,D,1.98
S09138,C,2.23
S07143,C,2.8
S01898,A,3.56
S07466,C,2.63
S00604,A+,3.81
S02847,A,3.53
S08208,C,2.44
S00394,A+,3.87
S04437,B,3.29
S09448,C,2.94
S07235,C,2.53
S05399,B,3.02
S00096,A+,3.67
S01663,A,3.54
S08971,C,2.68
S05131,B,3.45
S01489,A+,3.85
S08317,C,2.77
S02708,A,3.57
S01596,A,3.55
S09278,C,2.12
S02378,A,3.53
S05141,B,3.43
S06148,B,3.33
S08242,C,2.9
S03949,B,3.46
S03934,B,3.42
S04798,B,3.28
S04373,B,3.34
S09863,D,1.68
S08243,C,2.41
S03449,A,3.55
S02944,A,3.56
S02466,A,3.54
S08583,C,2.74
S05507,B,3.3
S02699,A,3.51
S02448,A,3.54
S00020,A+,3.61
S02749,A,3.51
S05400,B,3.35
S08079,C,2.57
S06872,C,2.88
S04709,B,3.1
S09477,C,2.65
S00810,A+,3.83
S07478,C,2.45
S02274,A,3.54
S01924,A,3.57
S01471,A+,3.96
S07935,C,2.4
S07408,C,2.93
S02407,A,3.5
S01143,A+,3.79
S01748,A,3.54
S05710,B,3.04
S04976,B,3.24
S07301,C,2.67
S08149,C,2.94
S02834,A,3.53
S03132,A,3.54
S01311,A+,3.75
S08651,C,2.63
S06775,C,2.09
S06757,C,2.43
S00621,A+,3.57
S02702,A,3.5
S02200,A,3.53
S06197,B,3.31
S08825,C,2.83
S01047,A+,3.92
S05769,B,3.29
S09948,D,1.81
S09020,C,2.83
S00744,A+,3.94
S00223,A+,3.83
S03150,A,3.54
S00626,A+,3.59
S09335,C,2.83
S07567,C,2.01
S04583,B,3.12
S05712,B,3.05
S03285,A,3.5
S07586,C,2.21
S09647,D,1.33
S01531,A,3.53
S09686,D,1.65
S00354,A+,3.75
S02475,A,3.5
S08014,C,2.98
S06476,B,3.24
S06450,B,3.3
S00240,A+,3.87
S02626,A,3.56
S09787,D,1.64
S07199,C,2.49
S07693,C,2.68
S02998,A,3.5
S06441,B,3.48
S04563,B,3.05
S08615,C,2.98
S01480,A+,3.85
S01019,A+,3.66
S03095,A,3.51
S06183,B,3.4
S04961,B,3.2
S08493,C,2.9
S01104,A+,3.78
S06082,B,3.29
S09526,D,1.66
S05191,B,3.15
S04182,B,3.06
S04468,B,3.02
S01627,A,3.52
S06718,C,2.93
S03799,B,3.46
S03054,A,3.51
S02868,A,3.55
S01433,A+,3.73
S07984,C,2.17
S09347,C,2.22
S09420,C,2.52
S04077,B,3.4
S00218,A+,3.79
S03556,B,3.16
S07937,C,2.51
S08422,C,2.88
S01035,A+,3.65
S03774,B,3.25
S04133,B,3.05
S02336,A,3.52
S06493,B,3.32
S01483,A+,3.6
S00907,A+,3.65
S06089,B,3.27
S06467,B,3.05
S05677,B,3.04
S02771,A,3.55
S01806,A,3.51
S07375,C,2.03
S02115,A,3.5
S04535,B,3.45
S02532,A,3.56
S08526,C,2.48
S03471,A,3.52
S01403,A+,3.62
S00853,A+,3.89
S03083,A,3.55
S08025,C,2.57
S07566,C,2.18
S05530,B,3.19
S07855,C,2.03
S04933,B,3.13
S05160,B,3.33
S09716,D,1.38
S03847,B,3.18
S06484,B,3.49
S00748,A+,3.64
S03035,A,3.51
S00348,A+,3.87
S03352,A,3.54
S02865,A,3.57
S02168,A,3.54
S06955,C,2.35
S06210,B,3.16
S02778,A,3.51
S01442,A+,3.93
S05658,B,3.32
S09658,D,1.83
S03028,A,3.5
S06118,B,3.23
S02484,A,3.52
S02883,A,3.53
S05562,B,3.06
S00764,A+,3.69
S06482,B,3.34
S01617,A,3.56
S01223,A+,3.86
S08665,C,2.21
S06222,B,3.38
S01577,A,3.56
S09392,C,2.89
S06351,B,3.46
S03783,B,3
S04375,B,3.04
S00709,A+,3.63
S00510,A+,3.69
S02955,A,3.54
S07538,C,2.04
S06339,B,3.4
S08923,C,2.19
S07064,C,2.68
S07163,C,2.78
S07372,C,2.1
S06829,C,2.03
S03616,B,3.48
S04657,B,3.42
S06976,C,2.56
S04351,B,3.04
S00712,A+,3.98
S06479,B,3.46
S09130,C,2.13
S08205,C,2.76
S09204,C,2.09
S00713,A+,3.6
S09113,C,2.33
S01246,A+,3.6
S09786,D,1.33
S06849,C,2.61
S05134,B,3.23
S00716,A+,3.72
S03464,A,3.54
S04395,B,3.15
S04569,B,3.15
S08804,C,2.67
S08490,C,2.6
S07702,C,2.23
S00213,A+,3.61
S09768,D,1.25
S06839,C,2.45
S01011,A+,3.62
S00324,A+,3.85
S05397,B,3.09
S05991,B,3.13
S03173,A,3.56
S00335,A+,3.71
S08306,C,2.34
S02211,A,3.55
S04272,B,3.41
